name,latitude,longitude,corridor
Blok M,-6.2433361111,106.8018694444,1
Masjid Agung,-6.2349638889,106.7984194444,1
Bunderan Senayan,-6.2273916667,106.8016055556,1
Gelora Bung Karno,-6.2241805556,106.8058444444,1
Polda Metro,-6.2215333333,106.8096805556,1
Bendungan Hilir,-6.2170833333,106.8153111111,1
Karet,-6.2146444444,106.81835,1
Setiabudi,-6.2102944444,106.8211361111,1
Dukuh Atas,-6.2056888889,106.8222555556,1
Tosari ICBC,-6.1985833333,106.8231388889,1
Bunderan HI,-6.1936833333,106.8230388889,1
Sarinah,-6.188,106.8230055556,1
Bank Indonesia,-6.1827305556,106.8229888889,1
Monumen Nasional,-6.1761944444,106.8228694444,1
Harmoni,-6.1658138889,106.8204388889,1
Sawah Besar,-6.1603888889,106.8192333333,1
Mangga Besar,-6.1521138889,106.817375,1
Olimo,-6.1492805556,106.8166944444,1
Glodok,-6.14405,106.8153444444,1
Stasiun Kota,-6.1376138889,106.8138277778,1
Pulogadung,-6.1831694444,106.9091638889,2
Bermis,-6.1781666667,106.8984916667,2
Pulomas,-6.1746916667,106.8927472222,2
ASMI,-6.1717861111,106.8888027778,2
Pedongkelan,-6.1679472222,106.8825166667,2
Cempaka Timur,-6.166525,106.8760611111,2
RS Islam,-6.1685666667,106.8704472222,2
Cempaka Tengah,-6.1703777778,106.8665777778,2
Pasar Cempaka Putih,-6.1722861111,106.862475,2
Rawa Selatan,-6.1738916667,106.8580416667,2
Galur,-6.1743972222,106.85475,2
Senen,-6.1782222222,106.842475,2
Atrium,-6.1772055556,106.8409,2
RSPAD,-6.1754916667,106.8367388889,2
DepLu,-6.1734944444,106.8347305556,2
Gambir 1,-6.1745027778,106.8303388889,2
Istiqlal,-6.1722,106.8309416667,2
Juanda,-6.1680444444,106.8307277778,2
Pecenongan,-6.1676805556,106.8282,2
Harmoni,-6.1658138889,106.8204388889,2
Kalideres,-6.1545444444,106.705925,3
Pesakih,-6.1547916667,106.7152583333,3
Sumur Bor,-6.1530527778,106.719175,3
Rawa Buaya,-6.1539333333,106.7262472222,3
Jembatan Baru,-6.1548638889,106.7305666667,3
Dispenda Samsat Barat,-6.1546138889,106.7380805556,3
Jembatan Gantung,-6.1554861111,106.7492666667,3
Taman Kota,-6.157175,106.7578777778,3
Indosiar,-6.1634527778,106.7753833333,3
Jelambar,-6.1665833333,106.7866944444,3
Grogol,-6.1668194444,106.7897055556,3
Sumber Waras,-6.1662722222,106.796925,3
Pulo Gadung,-6.18426,106.90821,4
Pasar Pulogadung,-6.18748,106.90597,4
TU Gas,-6.19245,106.90479,4
Layur,-6.19354,106.89893,4
Pemuda Rawamangun,-6.19345,106.89165,4
Velodrome,-6.19346,106.88807,4
Sunan Giri,-6.19332,106.8835,4
UNJ,-6.19289,106.88008,4
Pramuka BPKP,-6.19234,106.87388,4
Pramuka LIA,-6.19225,106.86846,4
Utan Kayu,-6.19277,106.8645,4
Pasar Genjing,-6.19452,106.86082,4
Matraman,-6.19912,106.85434,4
Manggarai,-6.20889,106.847462,4
Pasar Rumput,-6.20712,106.841156,4
Halimun,-6.20516,106.8335,4
Dukuh Atas 2,-6.20442,106.82335,4
Matraman 2,0,0,4
Ancol,-6.12722,106.83037,5
Pademangan,-6.13393,106.83165,5
Gn. Sahari Mangga Dua,-6.13718,106.83237,5
Jembatan Merah,-6.1468,106.83415,5
Pasar Baru Timur,-6.16249,106.83811,5
Budi Utomo,-6.16599,106.83898,5
Central Senen ,-6.17835,106.84184,5
Pal Putih,-6.18446,106.84388,5
Kramat Sentiong NU,-6.18824,106.84597,5
Salemba UI,-6.19365,106.84891,5
Salemba Carolus,-6.19623,106.85019,5
Matraman 1,-6.20009,106.85381,5
Tegalan,-6.20284,106.85698,5
Slamet Riyadi,-6.20871,106.85926,5
Kebon Pala,-6.21308,106.86118,5
Kampung Melayu,-6.22487,106.86669,5
Pasar Jatinegara,-6.21584,106.8663,5
Ragunan,-6.3056,106.82032,6
Departemen Pertanian,-6.29441,106.82213,6
SMK 57,-6.29118,106.82349,6
Jati Padang,-6.28557,106.82613,6
Pejaten,-6.2783,106.82971,6
Buncit Indah,-6.2742,106.83025,6
Warung Jati,-6.2623,106.82962,6
Imigrasi Jakarta Selatan,-6.25663,106.8279,6
Duren Tiga,-6.25196,106.82682,6
Mampang Prapatan,-6.24218,106.82562,6
Kuningan Timur,-6.23603,106.82767,6
Patra Kuningan,-6.23342,106.83128,6
Departemen Kesehatan,-6.22859,106.83308,6
Gelanggang Olahraga Sumantri,-6.22077,106.83191,6
Karet Kuningan,-6.21743,106.83079,6
Kuningan Madya,-6.21248,106.83036,6
Setiabudi Utara Aini,-6.20821,106.8299,6
Latuharhari,-6.20288,106.82772,6
Halimun,-6.20516,106.8335,6
Dukuh Atas 2,-6.20442,106.82335,6
Kampung Melayu,-6.2246416667,106.8668027778,7
Bidara Cina,-6.2297194444,106.8672222222,7
Gelanggang Remaja,-6.2354166667,106.8679444444,7
Cawang Otista,-6.2436611111,106.8687416667,7
Cawang BNN,-6.2461055556,106.872075,7
Cawang UKI,-6.2503444444,106.8735916667,7
BKN,-6.2578111111,106.8699416667,7
Cililitan PGC,-6.2624527778,106.8663694444,7
Pasar Kramat Jati,-6.2688111111,106.8666027778,7
Pasar Induk,-6.2942138889,106.872025,7
RS Harapan Bunda,-6.3019,106.8680416667,7
Flyover Raya Bogor,-6.3065166667,106.8657027778,7
Tanah Merdeka,-6.3082,106.8738611111,7
Kampung Rambutan,-6.3092083333,106.881625,7
Terminal Lebak Bulus,-6.2893,106.7746,8
Pondok Pinang,-6.2822,106.77195,8
Pondok Indah 1,-6.28746,106.77908,8
Pondok Indah 2,-6.26718,106.78341,8
Tanah Kusir Kodim,-6.25691,106.78155,8
Kebayoran Lama Bungur,-6.25279,106.78149,8
Pasar Kebayoran Lama,-6.2384,106.7827,8
Simprug,-6.23394,106.78629,8
Permata Hijau,-6.22173,106.78296,8
Permata Hijau RS Medika,-6.21845,106.77731,8
Pos Pengumben,-6.21288,106.77225,8
Kelapa Dua Sasak,-6.20578,106.7695,8
Kebon Jeruk RCTI,-6.1944,106.76926,8
Duri Kepa,-6.18527,106.76804,8
Kedoya Assiddiqiyah,-6.17492,106.76592,8
Kedoya Green Garden,-6.16436,106.7628,8
Harmoni,-6.16596,106.82038,8
Pluit,-6.1157805556,106.7911722222,9
Penjaringan,-6.1262694444,106.7920222222,9
Jembatan Tiga,-6.1333972222,106.7926916667,9
Jembatan Dua,-6.1432611111,106.7935222222,9
Jembatan Besi,-6.1520111111,106.7949194444,9
Stasiun Grogol Latumenten,-6.1607694444,106.7907166667,9
Grogol 2 Reformasi,-6.1672805556,106.7882138889,9
S Parman Podomoro City,-6.1758611111,106.79315,9
RS Harapan Kita,-6.1852388889,106.7971111111,9
Slipi Kemanggisan,-6.1898361111,106.7969611111,9
Slipi Petamburan,-6.2020666667,106.7999138889,9
Senayan JCC,-6.2138472222,106.8083944444,9
Semanggi,-6.220475,106.8131361111,9
Gatot Subroto LIPI,-6.2274555556,106.8176638889,9
Gatot Subroto Jamsostek,-6.2325666667,106.8216138889,9
Kuningan Barat,-6.2370305556,106.8276472222,9
Tegal Parang,-6.2390277778,106.8311166667,9
Pancoran Barat,-6.2415388889,106.8381083333,9
Pancoran Tugu,-6.243325,106.8438444444,9
Tebet BKPM,-6.2430472222,106.8521194444,9
Cikoko Stasiun Cawang,-6.2430194444,106.8581333333,9
Cawang Ciliwung,-6.2429916667,106.8635444444,9
Cawang BNN,-6.2461055556,106.872075,9
Cawang UKI,-6.2503444444,106.8735916667,9
Tol Jagorawi,0,0,9
Taman Mini Garuda,-6.2901611111,106.881175,9
Pinang Ranti,-6.291175,106.8863916667,9
Tanjung Priok,-6.1095388889,106.8821388889,10
Enggano,-6.1101083333,106.89245,10
Permai Koja,-6.1142055556,106.8933222222,10
Walikota Jakarta Utara,-6.1188361111,106.8934361111,10
Plumpang Pertamina,-6.1285305556,106.8937055556,10
Sunter Kelapa Gading,-6.1430083333,106.8907083333,10
Yos Sudarso Kodamar,-6.1619166667,106.8817138889,10
Cempaka Mas 2,-6.165975,106.8790416667,10
Cempaka Putih,-6.1742222222,106.8764305556,10
Pulomas Bypass,-6.1772194444,106.8759916667,10
Kayu Putih Rawasari,-6.1873805556,106.8754166667,10
Pemuda Pramuka,-6.1928388889,106.8749583333,10
Utan Kayu Rawamangun,-6.1975361111,106.874025,10
Ahmad Yani Bea Cukai,-6.2056611111,106.8737694444,10
Flyover Jatinegara,-6.2155083333,106.8742027778,10
Pedati Prumpung,-6.22035,106.8744083333,10
Cipinang Kebon Nanas,-6.2315861111,106.8763416667,10
Penas Kalimalang,-6.2394194444,106.8780277778,10
Cawang Sutoyo,-6.2447361111,106.8759694444,10
Cawang UKI,-6.2503444444,106.8735916667,10
BKN,-6.2578111111,106.8699416667,10
Cililitan PGC,-6.2620055556,106.8653944444,10
Walikota Jakarta Timur,-6.2125111111,106.9453666667,11
Penggilingan,-6.2138694444,106.9396083333,11
Perumnas Klender,-6.2166638889,106.9305222222,11
Flyover Radin Inten,-6.215925,106.9243083333,11
Buaran,-6.2151138889,106.9177916667,11
Kampung Sumur,-6.2144222222,106.9119027778,11
Flyover Klender,-6.2135861111,106.9030277778,11
Stasiun Klender,-6.2135083333,106.8987,11
Cipinang,-6.21375,106.8894777778,11
Imigrasi Jakarta Timur,-6.2145972222,106.8824111111,11
Pasar Enjo,-6.2148416667,106.8783555556,11
Flyover Jatinegara,-6.2151694444,106.8735,11
Stasiun Jatinegara 2,-6.2155666667,106.8680694444,11
Jatinegara RS Premier,0,0,11
Kampung Melayu,-6.2246416667,106.8668027778,11
